exp,policy,label,port,ttft_ms,prompt_n
E1,single,cold · full prefill,8081,3872.8,3694
E1,single,hit 1 · same prefix,8081,70.8,8
E1,single,hit 2 · same prefix,8081,70.0,7
E1,single,miss · fresh replica,8082,3883.4,3690
E2,rr,r0 · ALPHA,8081,3895.1,3694
E2,rr,r0 · BRAVO,8082,4286.1,4001
E2,rr,r0 · CHARLIE,8081,4731.8,4308
E2,rr,r1 · ALPHA,8082,3994.1,3691
E2,rr,r1 · BRAVO,8081,4576.5,3994
E2,rr,r1 · CHARLIE,8082,4848.3,4301
E2,rr,r2 · ALPHA,8081,311.7,7
E2,rr,r2 · BRAVO,8082,514.5,7
E2,rr,r2 · CHARLIE,8081,366.4,7
E2,affinity,r0 · ALPHA,8081,3932.4,3694
E2,affinity,r0 · BRAVO,8082,4309.5,4001
E2,affinity,r0 · CHARLIE,8081,4772.6,4308
E2,affinity,r1 · ALPHA,8081,175.1,8
E2,affinity,r1 · BRAVO,8082,73.1,8
E2,affinity,r1 · CHARLIE,8081,153.7,8
E2,affinity,r2 · ALPHA,8081,232.5,7
E2,affinity,r2 · BRAVO,8082,68.2,7
E2,affinity,r2 · CHARLIE,8081,267.4,7
E3,rr,r0 · UNIQ0,8081,6422.1,4308
E3,rr,r0 · UNIQ1,8082,5735.6,4308
E3,rr,r0 · UNIQ2,8081,5315.7,4308
E3,affinity,r0 · UNIQ0,8081,4644.2,4308
E3,affinity,r0 · UNIQ1,8082,4637.8,4308
E3,affinity,r0 · UNIQ2,8081,4748.5,4308
E4,affinity,r0 · ALPHA,8081,3932.4,3694
E4,affinity,r1 · ALPHA,8081,73.0,8
E4,affinity,r2 · ALPHA,8082,4072.5,3690
E4,affinity,r3 · ALPHA,8082,107.7,10
